"Title","Access Date","Authors","DOI","Issue","Place Published","Publisher","Secondary Authors","Subsidiary Authors","Tertiary Authors","Type of Publication","Type of Work","Volume","Year of Publication","Pagination","Secondary Title","Nid"
"Protogynous hermaphroditism in Chrysoblephus laticeps (Cuvier) and C. cristiceps (Cuvier)(Teleostei: Sparidae)","","C.D. Buxton","","","","","C.D. Buxton","C.D. Buxton","C.D. Buxton","Journal Article","","24","1989","212–216","South African Journal of Zoology","995"
"Life history changes of two reef fish species in exploited and unexploited marine environments in South Africa","","C.David Buxton","","","","Rhodes University","C.David Buxton","C.David Buxton","C.David Buxton","Thesis","phd","","1988","","","994"
"Catch and effort of the shore and skiboat linefisheries along the South African Eastern Cape coast","","S.L. Brouwer; C.D. Buxton","","","","","S.L. Brouwer; C.D. Buxton","S.L. Brouwer; C.D. Buxton","S.L. Brouwer; C.D. Buxton","Journal Article","","24","2002","341–354","South African Journal of Marine Science","993"
"Chrysoblephus cristiceps","","C.D. Buxton","","","UK","","C.D. Buxton","C.D. Buxton","C.D. Buxton","Report","","","2014","","The IUCN Red List of Threatened Species ","992"
"Taxonomic review of the Western Indian Ocean species of the genus Acanthopagrus Peters, 1855 (Perciformes: Sparidae), with description of a new species from Oman","","Y. Iwatsuki; P.C. Heemstra","","","","","Y. Iwatsuki; P.C. Heemstra","Y. Iwatsuki; P.C. Heemstra","Y. Iwatsuki; P.C. Heemstra","Journal Article","","2010","2010","123–136","Copeia","990"
"A review of factors influencing fish utilization of South African estuaries","","A.K. Whitfield","","","","","A.K. Whitfield","A.K. Whitfield","A.K. Whitfield","Journal Article","","51","1996","115–137","Transactions of the Royal Society of South Africa","989"
"Southern African marine linefish status reports","","B.Q. Mann; N. Kistnasamy","","","","South African Association for Marine Biological Research","B.Q. Mann; N. Kistnasamy","B.Q. Mann; N. Kistnasamy","B.Q. Mann; N. Kistnasamy","Book","","","2000","","","988"
"A synthesis of the current status of marine and estuarine protected areas along the KwaZulu-Natal coast.","","B.Q. Mann; R.H. Taylor; D. Densham;  ","","","","","B.Q. Mann; R.H. Taylor; D. Densham;  ","B.Q. Mann; R.H. Taylor; D. Densham;  ","B.Q. Mann; R.H. Taylor; D. Densham;  ","Journal Article","","45","1998","48–64","Lammergeyer","987"
"Preliminary estimates of population size and capture rates of mature Acanthopagrus berda in the Kosi lakes system, South Africa, using mark-recapture methods","","R. Kyle; W.D. Robertson","","","","","R. Kyle; W.D. Robertson","R. Kyle; W.D. Robertson","R. Kyle; W.D. Robertson","Journal Article","","32","1997","124–128","South African Journal of Zoology","986"
"Natural History Note: Some interesting information from tagging returns for the riverbream, Acanthopagrus berda, in the Kosi lakes, Kwazulu/Natal","","R. Kyle","","","","","R. Kyle","R. Kyle","R. Kyle","Journal Article","","43","2000","99–100","Koedoe","985"
"Aspects of the ecology and exploitation of the fishes of the Kosi Bay system, KwaZulu, South Africa","","R. Kyle","","","","University of Natal, Pietermaritzburg","R. Kyle","R. Kyle","R. Kyle","Thesis","phd","","1986","","","984"
"Status of the estuarine-dependent riverbream Acanthopagrus berda (Sparidae) harvested by the multi-sectoral fishery in Kosi Bay, South Africa","","N. James; N.G. Hall; L.E. Beckley; B.Q. Mann; W.D. Robertson","","","","","N. James; N.G. Hall; L.E. Beckley; B.Q. Mann; W.D. Robertson","N. James; N.G. Hall; L.E. Beckley; B.Q. Mann; W.D. Robertson","N. James; N.G. Hall; L.E. Beckley; B.Q. Mann; W.D. Robertson","Journal Article","","30","2008","45–53","African Journal of Marine Science","983"
"Age and growth of the estuarine-dependent sparid Acanthopagrus berda in northern KwaZulu-Natal, South Africa","","N.C. James; B.Q. Mann; L.E. Beckley; A. Govender","","","","","N.C. James; B.Q. Mann; L.E. Beckley; A. Govender","N.C. James; B.Q. Mann; L.E. Beckley; A. Govender","N.C. James; B.Q. Mann; L.E. Beckley; A. Govender","Journal Article","","38","2003","265–271","African Zoology","982"
"The recreational fishery in the Kosi estuarine lake system, South Africa","","N.C. James; L.E. Beckley; B.Q. Mann; R. Kyle","","","","","N.C. James; L.E. Beckley; B.Q. Mann; R. Kyle","N.C. James; L.E. Beckley; B.Q. Mann; R. Kyle","N.C. James; L.E. Beckley; B.Q. Mann; R. Kyle","Journal Article","","36","2001","217–228","African Zoology","981"
"The status of the riverbream, Acanthopagrus berda (Sparidae), in estuarine systems of northern KwaZulu-Natal, South Africa","","N.Caroline James","","","","MSc thesis. University of Natal, South Africa","N.Caroline James","N.Caroline James","N.Caroline James","Thesis","phd","","2001","","","980"
"A note on the diet and feeding selectivity of juvenile riverbream, Acanthopagrus berda (Forskal, 1775), in a subtropical mangrove creek","","T.D. Harrison","","","","","T.D. Harrison","T.D. Harrison","T.D. Harrison","Journal Article","","26","1991","36–42","South African Journal of Zoology","979"
"Slinger–the final analysis","","P.A. Garratt","","","","","P.A. Garratt","P.A. Garratt","P.A. Garratt","Conference Paper","","","1992","","Fish, Fishers and Fisheries: Proceedings of the Second South African Marine Linefish Symposium","978"
"Comparative aspects of the reproductive biology of seabreams (Pisces: Sparidae)","","P.Ashworth Garratt","","","","","P.Ashworth Garratt","P.Ashworth Garratt","P.Ashworth Garratt","Journal Article","","","1993","","","977"
"The ecology of South African estuaries. Part 7. The biology of Durban Bay","","J.H. Day; J.F.C. Morgans","","","","","J.H. Day; J.F.C. Morgans","J.H. Day; J.F.C. Morgans","J.H. Day; J.F.C. Morgans","Journal Article","","13","1956","259–312","Annals of the Natal Museum","976"
"The influence of turbidity on juvenile marine fishes in estuaries. Part 2. Laboratory studies, comparisons with field data and conclusions","","D.P. Cyrus; S.J.M. Blaber","","","","","D.P. Cyrus; S.J.M. Blaber","D.P. Cyrus; S.J.M. Blaber","D.P. Cyrus; S.J.M. Blaber","Journal Article","","109","1987","71–91","Journal of Experimental Marine Biology and Ecology","975"
"The influence of turbidity on juvenile marine fishes in estuaries. Part 1. Field studies at Lake St. Lucia on the southeastern coast of Africa","","D.P. Cyrus; S.J.M. Blaber","","","","","D.P. Cyrus; S.J.M. Blaber","D.P. Cyrus; S.J.M. Blaber","D.P. Cyrus; S.J.M. Blaber","Journal Article","","109","1987","53–70","Journal of Experimental Marine Biology and Ecology","974"
"Few fish but many fishers: a case study of shore-based recreational angling in a major South African estuarine port","","L.E. Beckley; S.T. Fennessy; B.I. Everett","","","","","L.E. Beckley; S.T. Fennessy; B.I. Everett","L.E. Beckley; S.T. Fennessy; B.I. Everett","L.E. Beckley; S.T. Fennessy; B.I. Everett","Journal Article","","30","2008","11–24","African Journal of Marine Science","973"
"Feeding strategy of yellowfin tuna (Thunnus albacares), and wahoo (Acanthocybium solandri) in the Saint Peter and Saint Paul Archipelago, Brazil","","T.V.A.S.K.E. Júnior; C.Maria VOOREN; R.Paula LESSA","","","","","T.V.A.S.K.E. Júnior; C.Maria VOOREN; R.Paula LESSA","T.V.A.S.K.E. Júnior; C.Maria VOOREN; R.Paula LESSA","T.V.A.S.K.E. Júnior; C.Maria VOOREN; R.Paula LESSA","Journal Article","","29","2003","173–181","Boletim do Instituto de Pesca, São Paulo","969"
"A guide to the common sea fishes of southern Africa","","R. Van der Elst","","","","Struik","R. Van der Elst","R. Van der Elst","R. Van der Elst","Book","","","1993","","","968"
"FAO species identification field guide for fishery purposes: the living marine resources of Somalia.","","C. Sommer; W. Schneider; J.M. Poutiers;  ","","","","","C. Sommer; W. Schneider; J.M. Poutiers;  ","C. Sommer; W. Schneider; J.M. Poutiers;  ","C. Sommer; W. Schneider; J.M. Poutiers;  ","Book","","","1996","","","967"
"Smith's sea fishes","","P.C. Heemstra; J.Leonard Br Smith; M.Mary Smith","","","","","P.C. Heemstra; J.Leonard Br Smith; M.Mary Smith","P.C. Heemstra; J.Leonard Br Smith; M.Mary Smith","P.C. Heemstra; J.Leonard Br Smith; M.Mary Smith","Journal Article","","","1991","","","966"
"The biology of wahoo (Acanthocybium solandri) in the western central Atlantic","","H.A. Oxenford; P.A. Murray; B.E. Luckhurst","","","","","H.A. Oxenford; P.A. Murray; B.E. Luckhurst","H.A. Oxenford; P.A. Murray; B.E. Luckhurst","H.A. Oxenford; P.A. Murray; B.E. Luckhurst","Journal Article","","15","2003","33–49","Gulf and Caribbean Research","965"
"Peixes marinhos da região Nordeste do Brasil","","M.F. Nóbrega; R. Lessa; F.M. Santana","","","","","M.F. Nóbrega; R. Lessa; F.M. Santana","M.F. Nóbrega; R. Lessa; F.M. Santana","M.F. Nóbrega; R. Lessa; F.M. Santana","Journal Article","","","2009","","Editora Martins & Cordeiro (Programa REVIZEE-Score Nordeste), Fortaleza","964"
"Southern African marine linefish species profiles","","B.Q. Mann","","","","South African Association for Marine Biological Research","B.Q. Mann","B.Q. Mann","B.Q. Mann","Book","","","2013","","","963"
"An evaluation of participation in and management of the South African spearfishery","","B.Q. Mann; G.M. Scott; J.B. Mann-Lang; S.L. Brouwer; S.J. Lamberth; W.H.H. Sauer; C. Erasmus","","","","","B.Q. Mann; G.M. Scott; J.B. Mann-Lang; S.L. Brouwer; S.J. Lamberth; W.H.H. Sauer; C. Erasmus","B.Q. Mann; G.M. Scott; J.B. Mann-Lang; S.L. Brouwer; S.J. Lamberth; W.H.H. Sauer; C. Erasmus","B.Q. Mann; G.M. Scott; J.B. Mann-Lang; S.L. Brouwer; S.J. Lamberth; W.H.H. Sauer; C. Erasmus","Journal Article","","18","1997","179–193","South African Journal of Marine Science","962"
"World record game fishes","","I.Game Fish Association","","","","International Game Fish Association","I.Game Fish Association","I.Game Fish Association","I.Game Fish Association","Book","","","2005","","","961"
"An assessment of participation, catch and effort in the KwaZulu-Natal shore-based marine linefishery, with comments on management effectiveness","","S.W. Dunlop; B.Q. Mann","","","","","S.W. Dunlop; B.Q. Mann","S.W. Dunlop; B.Q. Mann","S.W. Dunlop; B.Q. Mann","Journal Article","","34","2012","479–496","African Journal of Marine Science","960"
"IUCN Red List of threatened species","","I.U.C.N.(Internati Nature)","","","","","I.U.C.N.(Internati Nature)","I.U.C.N.(Internati Nature)","I.U.C.N.(Internati Nature)","Journal Article","","","2011","","IUCN Global Species Programme Red List Unit","959"
"Preliminary observations on the reproductive biology of wahoo, Acanthocybium solandri, from the northern Gulf of Mexico and Bimini, Bahamas","","N.A.N.C.Y.J. Brown-Peterson; J.A.M.E.S.S. Franks; M.E.A.G.H.1N. Burke","","","","","N.A.N.C.Y.J. Brown-Peterson; J.A.M.E.S.S. Franks; M.E.A.G.H.1N. Burke","N.A.N.C.Y.J. Brown-Peterson; J.A.M.E.S.S. Franks; M.E.A.G.H.1N. Burke","N.A.N.C.Y.J. Brown-Peterson; J.A.M.E.S.S. Franks; M.E.A.G.H.1N. Burke","Conference Paper","","","2000","","Proceedings of the Gulf and Caribbean Fisheries Institute","958"
"Occurrence of tuna and mackerel larvae (family: Scombridae) off the east coast of South Africa","","L.E. Beckley; J.M. Leis","","","","","L.E. Beckley; J.M. Leis","L.E. Beckley; J.M. Leis","L.E. Beckley; J.M. Leis","Journal Article","","51","2000","777–782","Marine and freshwater research","957"
"A review of bycatch and discard issues in Indian Ocean tuna fisheries","","D. Ardill; D. Itano; R. Gillett","","","","","D. Ardill; D. Itano; R. Gillett","D. Ardill; D. Itano; R. Gillett","D. Ardill; D. Itano; R. Gillett","Journal Article","","","2011","","Indian Ocean Commission and SmartFish. 44pp","956"
"What is natural? The scale of cryptogenesis in the North Atlantic Ocean","","D. Haydar","","","","","D. Haydar","D. Haydar","D. Haydar","Journal Article","","18","2012","101–110, Table S3","Diversity and Distributions","951"
"Checklist of Cnidaria and Ctenophora from the coasts of Turkey","","M.Ertan Cinar; M.Baki YOKEŞ; A.\cC.I.K. Şermin; A.Kerem Bakir","","","","","M.Ertan Cinar; M.Baki YOKEŞ; A.\cC.I.K. Şermin; A.Kerem Bakir","M.Ertan Cinar; M.Baki YOKEŞ; A.\cC.I.K. Şermin; A.Kerem Bakir","M.Ertan Cinar; M.Baki YOKEŞ; A.\cC.I.K. Şermin; A.Kerem Bakir","Journal Article","","38","2014","677–697","Turkish Journal of Zoology","950"
"On a collection of hydroids (Cnidaria, Hydrozoa, Hydroidolina) from the west coast of Sweden, with a checklist of species from the region","","D.R. Calder","","","","","D.R. Calder","D.R. Calder","D.R. Calder","Journal Article","","3171","2012","1–77","Zootaxa","949"
"Biological observations on sharks caught by sport fisherman of New South Wales","","J.D. Stevens","","","","","J.D. Stevens","J.D. Stevens","J.D. Stevens","Journal Article","","35","1984","573–590","Marine and Freshwater Research","945"
"Vertebral rings as a means of age determination in the blue shark (Prionace glauca L.)","","J.D. Stevens","","","","","J.D. Stevens","J.D. Stevens","J.D. Stevens","Journal Article","","55","1975","657–665","Journal of the Marine Biological Association of the United Kingdom","944"
"Occurrence and feeding of three shark species, Carcharhinus brachyurus, C. obscurus and Sphyrna zygaena, on the Eastern Cape coast of South Africa","","M.J. Smale","","","","","M.J. Smale","M.J. Smale","M.J. Smale","Journal Article","","11","1991","31–42","South African Journal of Marine Science","943"
"Biological Profile: smooth hammerhead Sphyrna zygaena","","F.Museum of History","","","","","F.Museum of History","F.Museum of History","F.Museum of History","Web service","","","2008","","","942"
"Phylogenetic analysis with multiple markers indicates repeated loss of the adult medusa stage in Campanulariidae (Hydrozoa, Cnidaria)","","A.F. Govindarajan; F. Boero; K.M. Halanych","","","","","A.F. Govindarajan; F. Boero; K.M. Halanych","A.F. Govindarajan; F. Boero; K.M. Halanych","A.F. Govindarajan; F. Boero; K.M. Halanych","Journal Article","","38","2006","820–834","Molecular phylogenetics and evolution","941"
"Seasonal cycles of activity and inactivity in some hydroids from Virginia and South Carolina, USA","","D.R. Calder","","","","","D.R. Calder","D.R. Calder","D.R. Calder","Journal Article","","68","1990","442–450","Canadian Journal of Zoology","940"
"FMRF-amide immunoreactivity pattern in the planula and colony of the hydroid Gonothyraea loveni","","T. Mayorova; I. Kosevich","","","","","T. Mayorova; I. Kosevich","T. Mayorova; I. Kosevich","T. Mayorova; I. Kosevich","Journal Article","","116","2013","9–19","Zoology","939"
"Identificación y caracterización de áreas de cr{ía del tiburón martillo (Sphyrna spp) en las costas de Uruguay","","F.Doño Melleras","","","","","F.Doño Melleras","F.Doño Melleras","F.Doño Melleras","Miscellaneous","","","2008","","","938"
"Sphyrna zygaena","","B.M. Casper; A. Domingo; N. Gaibor; M.R. Heupel; E. Kotas; A.F. lamonaca; J.C. Perez-Jimenez; C. Simpfendorfer; W.D. Smith; J.D. Stevens; A. Soldo; C.M. Vooren","http://dx.doi.org/10.2305/IUCN.UK.2005.RLTS.T39388A10193797.en","","","","B.M. Casper; A. Domingo; N. Gaibor; M.R. Heupel; E. Kotas; A.F. lamonaca; J.C. Perez-Jimenez; C. Simpfendorfer; W.D. Smith; J.D. Stevens; A. Soldo; C.M. Vooren","B.M. Casper; A. Domingo; N. Gaibor; M.R. Heupel; E. Kotas; A.F. lamonaca; J.C. Perez-Jimenez; C. Simpfendorfer; W.D. Smith; J.D. Stevens; A. Soldo; C.M. Vooren","B.M. Casper; A. Domingo; N. Gaibor; M.R. Heupel; E. Kotas; A.F. lamonaca; J.C. Perez-Jimenez; C. Simpfendorfer; W.D. Smith; J.D. Stevens; A. Soldo; C.M. Vooren","Journal Article","Webpage","","2005","","The IUCN Red List of Threatened Species 2005","937"
"Sphyrna zygaena (Linnaeus, 1758)","","N. Baily; R. Froese; D. Pauly","","","","World Register of Marine Species ","N. Baily; R. Froese; D. Pauly","N. Baily; R. Froese; D. Pauly","N. Baily; R. Froese; D. Pauly","Web Article","Internet","","2015","","FishBase","936"
"Observations of mating behavior of the manta ray, Manta birostris, at the Ogasawara Islands, Japan","","K. Yano; F. Sato; T. Takahashi","","","","","K. Yano; F. Sato; T. Takahashi","K. Yano; F. Sato; T. Takahashi","K. Yano; F. Sato; T. Takahashi","Journal Article","","46","1999","289–296","Ichthyological research","932"
"Biology and population ecology of Manta birostris in southern Mozambique","","A.D. Marshall","","","Brisbane","University of Queensland","A.D. Marshall","A.D. Marshall","A.D. Marshall","Thesis","PhD","","2009","","School of Biomedical Science","931"
"Biotic census of Cape Cod bay: hydroids","","D.R. Calder","","","","","D.R. Calder","D.R. Calder","D.R. Calder","Journal Article","","149","1975","287–315","The Biological Bulletin","930"
"Morphogenetic evolution of hydroid colony pattern","","N.N. Marfenin; I.A. Kosevich","","","","","N.N. Marfenin; I.A. Kosevich","N.N. Marfenin; I.A. Kosevich","N.N. Marfenin; I.A. Kosevich","Journal Article","","530","2004","319–327","Hydrobiologia","929"
". Biology and population ecology of Manta birostris in southern Mozambique","","A.D. Marshall","","","Brisbane","University of Queensland","A.D. Marshall","A.D. Marshall","A.D. Marshall","Thesis","PhD","","2009","","School of Biomedical Science","928"
